category,name,imgUrl,kcal,carbo,protein,fat,sFat,tFat,sugar,choles,natrium,ingredi
볼,맛있닭 닭가슴살볼 치즈맛,https://file.rankingdak.com/_data/item/1526462214_l1.jpg,157.75,7.92,22.01,4.06,2.69,0,4.7,35.79,280.14,"닭가슴살(국내산)66.88%, 제이하이멜트플러스치즈5.0%[자연 치즈 70%(체다치즈: 우유, 배양액, 정제소금,응유효소)<뉴질랜드산>, 정제수, 카제인나트륨, 식물성유지(팜유) <말레이시아산>, 산도조절제, 합성향료(로마노치즈향), 착색료(베타카로틴)], 설탕, 치즈맛인해서S|치즈 혼합분말(II)[야자경화유{정제가공유지(외국산: 인도네시아,말레이시아, 필리핀), d-토코페롤(혼합용)}, 유당(미국산), 자연치즈(미국산, 호주산), 정제가공유지, 카제인나트륨], 크리미조미분[덱스트린, 치즈혼합분말(II), 크림치즈분말(크림치즈탕/미국산), 효모추출물, 치즈향], 덱스트린, 효모추출물, 정제소금|, 복합시즈닝 KIC, 분리대두단백, 전란액, 양파, 물엿, 마늘, 우유, 대파혼합제제(합성향료(치즈향), 가공정제유지, 대두유)
닭고기, 우유, 계란, 대두 함유"
볼,맛있닭 닭가슴살볼 스파이시,https://file.rankingdak.com/_data/item/1526462228_l1.jpg,139.48,5.83,22.99,3.37,1.89,0,3.06,56.12,297,"닭가슴살(국내산)65.76%, 모짜렐라치즈E{외국산(미국,오스트리아,독일 등): 원유, 정제소금, 구연산, 유산균배양액, 우유고효소], 분말셀룰로스} 6.0%, 고추장{물엿, 소맥분(밀:미국산, 호주산), 혼합양념(중국산)[고춧가루 2%(고추: 중국산), 정제소금, 마늘, 양파], 정제수, 밀쌀}, 당류가공품, 불닭소스KI, 양파, 물엿, 분리대두단백, 체다치즈분말, 청양고추(국산)1.63%, 복합시즈닝 KIH, 마늘, 할라피뇨페이스트, 미향
닭고기, 우유, 대두, 밀, 계란 함유"
큐브,맛있닭 닭가슴살 큐브 고추맛,https://file.rankingdak.com/_data/item/1432256891_l1.jpg,142.18,0,27.06,3.7,1.21,0,0,67.02,129.09,"닭가슴살(국내산)80.86%, 대두유[(대두:외국산/아르헨티나, 미국,브라질등),d-토코페롤, 규소수지], 알콘에스비(대두: 미국산100%),마늘, 함수포도당,청양고추(국내산1.52%, 전란액,콩단백발효물,마늘분말,카라기난, 백후추분말, 양파분말, 정제소금, 청양초맛분말0.1%,5'-리보뉴클레오티드이나트륨
닭고기,대두, 계란, 우유, 밀, 쇠고기, 토마토"
큐브,맛있닭 닭가슴살 큐브 마늘맛,https://file.rankingdak.com/_data/item/1432255477_l1.jpg,129.77,1.13,27.6,1.65,0.5,0,0.47,72.37,124.96,"닭가슴살(국내산)81.58%, 대두유[(대두:외국산/아르헨티나, 미국,브라질 등), d-토코페롤, 규소수지], 알콘에스비(대두:미국산 100%), 마늘(국내산)3.06%,함수포도당, 전란액,미향,콩단백발효물,마늘분말,카라기난, 백후추분말,양파분말,정제소금,5'-리보뉴클레오티드이나트륨
닭고기,대두,계란,우유"
큐브,리얼원 무항생제 닭가슴살 큐브 오리지널,https://file.rankingdak.com/_data/item/1526469588_l1.jpg,115,7,19,1.5,0.5,0,2,40,480,"무항생제 닭가슴살(국내산) 84.16 %, 고소한빵가루[밀가루 (밀:미국산,호주산), 식물성유지(팜유 : 말레이시아산), 포도당, 생이스트, 정제소금], 순살믹스Q[차콜그릴씨즈닝(미국산), 혼합분유(탈지분유:외국산)], 정제수, 대두단백, 혼합제제(염화칼륨, 말토덱스트린, 구연산), 치킨용인핸서, 효모추출물 아로마일드
닭고기, 우유, 대두, 밀, 쇠고기 함유"
큐브,리얼원 무항생제 닭가슴살 큐브 청양고추,https://file.rankingdak.com/_data/item/1526469790_l1.jpg,120,7,20,1.5,0.6,0,3,45,240,"무항생제 닭가슴살(국내산) 83.34 %, 고소한빵가루[밀가루 (밀:미국산, 호주산), 식물성유지(팜유: 말레이시아산), 포도당, 생이스트, 정제소금], 청양고추(국내산) 3.24%, 순살믹스Q, 정제수, 대두단백, 혼합제제(염화칼륨, 말토덱스트린, 구연산), 치킨용인핸서, 효모추출물 아로마일드
닭고기, 우유, 대두, 밀, 쇠고기 함유"
큐브,바디닭 청양고추 수비드큐브 닭가슴살,https://file.rankingdak.com/_data/item/492b1be09be1b5a6dcc3d5e15076d1d3.jpg,110,1,24,1.3,0,0,1,60,140,"닭고기(가슴살/국내산)89.61%, 칠리맛시즈닝분말 [정제소금(국내산), 하바네로맛베이스{레드메쉬핫소스(멕시코산)}, 혼합육수맛베이스, 말토덱스트린,구운마늘시즈닝분말], 청양고추(국내산)1.79%, 흑후추분말,정제수"
큐브,바디닭 갈릭 수비드큐브 닭가슴살,https://file.rankingdak.com/_data/item/d9337ea94a58846ea44f459aabf9cb09.jpg,110,1.6,23.1,1.5,0,0,1,70,84,"닭고기(가슴살/국내산)90.01%,정제수,갈릭맛시즈닝 [{마늘농축분말55%(마늘분말(마늘/국내산), 마늘농축분말 (마늘농축액 : 프랑스)}1.35%,정백당,정제소금(국내산), 구운양파분말], 구운마늘시즈닝분말{마늘분말(마늘/국내산)}, 마늘분말(중국산)0.45%, 흑후추분말"
큐브,바디닭 데리야끼 수비드큐브 닭가슴살,https://file.rankingdak.com/_data/item/cc3a1314f2d88c06f8c4b8e1897cb62c.jpg,109.82,1,24,1,0,0,1.9,48,228,"닭고기 (가슴살/국내산)89.21%, 데리야끼맛시즈닝 [정백당, 에이치브이피 분말(중국산),혼합야채엑기스분말{양파(국내산),유청분말,정제소금}, 흑후추분말(말레이시아산),정제수"
볼,바디닭 청양고추 닭가슴살 볼,https://file.rankingdak.com/_data/item/aca2a2fcaee2d607686de4415bb1e080.jpg,145,5,22,4.3,1.8,0,2,60,270,"닭가슴살(국산)79.56%, 고소한빵가루배합용[밀가루(밀:미국, 호주산) 생이스트(중국산), 정제소금, 이스트후드], 청양고추(국산)3.35%, 양파, 옥수수전분, 대두유, 백설탕, 콩단백, 마늘, 정제소금, 뮤엔치너, 백후추분말, 생강분말"
